,knockouts,carbon source,yield,slope
1176,"FBP|ACONTa,ACONTb",2pg,0.0,0.0
1177,"FBP|ACONTa,ACONTb",ac,0.0,0.0
1178,"FBP|ACONTa,ACONTb",dhap,0.0,0.0
1179,"FBP|ACONTa,ACONTb",electrons,0.0,0.0
1180,FBP|ALCD2x,g6p,0.817,0.0
1181,FBP|ALCD2x,f6p,0.817,0.0
1182,FBP|ALCD2x,6pgc,0.764,0.0
1183,FBP|ALCD2x,r5p,0.828,0.0
1184,FBP|ALCD2x,succ,0.0,0.0
1185,FBP|ALCD2x,xu5p_D,0.828,0.0
1186,FBP|ALCD2x,2pg,0.0,0.0
1187,FBP|ALCD2x,ac,0.0,0.0
1188,FBP|ALCD2x,dhap,0.0,0.0
1189,FBP|ALCD2x,electrons,0.0,0.0
1190,FBP|ACALD,g6p,0.817,0.0
1191,FBP|ACALD,f6p,0.817,0.0
1192,FBP|ACALD,6pgc,0.764,0.0
1193,FBP|ACALD,r5p,0.828,0.0
1194,FBP|ACALD,succ,0.0,0.0
1195,FBP|ACALD,xu5p_D,0.828,0.0
1196,FBP|ACALD,2pg,0.0,0.0
1197,FBP|ACALD,ac,0.0,0.0
1198,FBP|ACALD,dhap,0.0,0.0
1199,FBP|ACALD,electrons,0.0,0.0
1200,FBA|TPI,g6p,0.789,0.0
1201,FBA|TPI,f6p,0.789,0.0
1202,FBA|TPI,6pgc,0.743,0.0
1203,FBA|TPI,r5p,0.809,0.0
1204,FBA|TPI,succ,0.0,0.0
1205,FBA|TPI,xu5p_D,0.809,0.0
1206,FBA|TPI,2pg,0.0,0.0
1207,FBA|TPI,ac,0.0,0.0
1208,FBA|TPI,dhap,0.0,0.0
1209,FBA|TPI,electrons,0.0,0.0
1210,"FBA|GAPD,PGK",g6p,0.754,9.384
1211,"FBA|GAPD,PGK",f6p,0.754,9.384
1212,"FBA|GAPD,PGK",6pgc,0.707,10.13
1213,"FBA|GAPD,PGK",r5p,0.755,11.579
1214,"FBA|GAPD,PGK",succ,0.0,0.0
1215,"FBA|GAPD,PGK",xu5p_D,0.755,11.579
1216,"FBA|GAPD,PGK",2pg,0.0,0.0
1217,"FBA|GAPD,PGK",ac,0.0,0.0
1218,"FBA|GAPD,PGK",dhap,0.0,0.0
1219,"FBA|GAPD,PGK",electrons,0.0,0.0
1220,FBA|PGM,g6p,0.0,0.0
1221,FBA|PGM,f6p,0.0,0.0
1222,FBA|PGM,6pgc,0.0,0.0
1223,FBA|PGM,r5p,0.0,0.0
1224,FBA|PGM,succ,0.0,0.0
1225,FBA|PGM,xu5p_D,0.0,0.0
1226,FBA|PGM,2pg,0.0,0.0
1227,FBA|PGM,ac,0.0,0.0
1228,FBA|PGM,dhap,0.0,0.0
1229,FBA|PGM,electrons,0.0,0.0
1230,FBA|ENO,g6p,0.0,0.0
1231,FBA|ENO,f6p,0.0,0.0
1232,FBA|ENO,6pgc,0.0,0.0
1233,FBA|ENO,r5p,0.0,0.0
1234,FBA|ENO,succ,0.0,0.0
1235,FBA|ENO,xu5p_D,0.0,0.0
1236,FBA|ENO,2pg,0.0,0.0
1237,FBA|ENO,ac,0.0,0.0
1238,FBA|ENO,dhap,0.0,0.0
1239,FBA|ENO,electrons,0.0,0.0
1240,FBA|PYK,g6p,0.772,0.0
1241,FBA|PYK,f6p,0.772,0.0
1242,FBA|PYK,6pgc,0.725,0.0
1243,FBA|PYK,r5p,0.784,0.0
1244,FBA|PYK,succ,0.0,0.0
1245,FBA|PYK,xu5p_D,0.784,0.0
1246,FBA|PYK,2pg,0.0,0.0
1247,FBA|PYK,ac,0.0,0.0
1248,FBA|PYK,dhap,0.0,0.0
1249,FBA|PYK,electrons,0.0,0.0
1250,FBA|PPS,g6p,0.789,0.0
1251,FBA|PPS,f6p,0.789,0.0
1252,FBA|PPS,6pgc,0.743,0.0
1253,FBA|PPS,r5p,0.809,0.0
1254,FBA|PPS,succ,0.0,0.0
1255,FBA|PPS,xu5p_D,0.809,0.0
1256,FBA|PPS,2pg,0.0,0.0
1257,FBA|PPS,ac,0.0,0.0
1258,FBA|PPS,dhap,0.0,0.0
1259,FBA|PPS,electrons,0.0,0.0
1260,FBA|PDH,g6p,0.754,0.0
1261,FBA|PDH,f6p,0.754,0.0
1262,FBA|PDH,6pgc,0.71,0.0
1263,FBA|PDH,r5p,0.773,0.0
1264,FBA|PDH,succ,0.0,0.0
1265,FBA|PDH,xu5p_D,0.773,0.0
1266,FBA|PDH,2pg,0.0,0.0
1267,FBA|PDH,ac,0.0,0.0
1268,FBA|PDH,dhap,0.0,0.0
1269,FBA|PDH,electrons,0.0,0.0
1270,FBA|PFL,g6p,0.789,0.0
1271,FBA|PFL,f6p,0.789,0.0
1272,FBA|PFL,6pgc,0.743,0.0
1273,FBA|PFL,r5p,0.809,0.0
1274,FBA|PFL,succ,0.0,0.0
1275,FBA|PFL,xu5p_D,0.809,0.0
1276,FBA|PFL,2pg,0.0,0.0
1277,FBA|PFL,ac,0.0,0.0
1278,FBA|PFL,dhap,0.0,0.0
1279,FBA|PFL,electrons,0.0,0.0
1280,"FBA|G6PDH2r,PGL",g6p,0.726,15.728
1281,"FBA|G6PDH2r,PGL",f6p,0.726,15.728
1282,"FBA|G6PDH2r,PGL",6pgc,0.728,0.0
1283,"FBA|G6PDH2r,PGL",r5p,0.754,11.776
1284,"FBA|G6PDH2r,PGL",succ,0.0,0.0
1285,"FBA|G6PDH2r,PGL",xu5p_D,0.754,11.776
1286,"FBA|G6PDH2r,PGL",2pg,0.0,0.0
1287,"FBA|G6PDH2r,PGL",ac,0.0,0.0
1288,"FBA|G6PDH2r,PGL",dhap,0.0,0.0
1289,"FBA|G6PDH2r,PGL",electrons,0.0,0.0
1290,FBA|GND,g6p,0.787,0.0
1291,FBA|GND,f6p,0.787,0.0
1292,FBA|GND,6pgc,0.0,0.0
1293,FBA|GND,r5p,0.801,0.0
1294,FBA|GND,succ,0.0,0.0
1295,FBA|GND,xu5p_D,0.801,0.0
1296,FBA|GND,2pg,0.0,0.0
1297,FBA|GND,ac,0.0,0.0
1298,FBA|GND,dhap,0.0,0.0
1299,FBA|GND,electrons,0.0,0.0
1300,"FBA|EDD,EDA",g6p,0.769,0.0
1301,"FBA|EDD,EDA",f6p,0.769,0.0
1302,"FBA|EDD,EDA",6pgc,0.727,0.0
1303,"FBA|EDD,EDA",r5p,0.797,0.0
1304,"FBA|EDD,EDA",succ,0.0,0.0
1305,"FBA|EDD,EDA",xu5p_D,0.797,0.0
1306,"FBA|EDD,EDA",2pg,0.0,0.0
1307,"FBA|EDD,EDA",ac,0.0,0.0
1308,"FBA|EDD,EDA",dhap,0.0,0.0
1309,"FBA|EDD,EDA",electrons,0.0,0.0
1310,FBA|RPE,g6p,0.789,0.0
1311,FBA|RPE,f6p,0.789,0.0
1312,FBA|RPE,6pgc,0.0,0.0
1313,FBA|RPE,r5p,0.0,0.0
1314,FBA|RPE,succ,0.0,0.0
1315,FBA|RPE,xu5p_D,0.807,0.0
1316,FBA|RPE,2pg,0.0,0.0
1317,FBA|RPE,ac,0.0,0.0
1318,FBA|RPE,dhap,0.0,0.0
1319,FBA|RPE,electrons,0.0,0.0
1320,FBA|RPI,g6p,0.778,2.156
1321,FBA|RPI,f6p,0.778,2.156
1322,FBA|RPI,6pgc,0.0,0.0
1323,FBA|RPI,r5p,0.0,0.0
1324,FBA|RPI,succ,0.0,0.0
1325,FBA|RPI,xu5p_D,0.0,0.0
1326,FBA|RPI,2pg,0.0,0.0
1327,FBA|RPI,ac,0.0,0.0
1328,FBA|RPI,dhap,0.0,0.0
1329,FBA|RPI,electrons,0.0,0.0
1330,"FBA|TKT1,TKT2",g6p,0.0,0.0
1331,"FBA|TKT1,TKT2",f6p,0.0,0.0
1332,"FBA|TKT1,TKT2",6pgc,0.0,0.0
1333,"FBA|TKT1,TKT2",r5p,0.0,0.0
1334,"FBA|TKT1,TKT2",succ,0.0,0.0
1335,"FBA|TKT1,TKT2",xu5p_D,0.0,0.0
1336,"FBA|TKT1,TKT2",2pg,0.0,0.0
1337,"FBA|TKT1,TKT2",ac,0.0,0.0
1338,"FBA|TKT1,TKT2",dhap,0.0,0.0
1339,"FBA|TKT1,TKT2",electrons,0.0,0.0
1340,FBA|TALA,g6p,0.788,0.0
1341,FBA|TALA,f6p,0.788,0.0
1342,FBA|TALA,6pgc,0.0,0.0
1343,FBA|TALA,r5p,0.0,0.0
1344,FBA|TALA,succ,0.0,0.0
1345,FBA|TALA,xu5p_D,0.0,0.0
1346,FBA|TALA,2pg,0.0,0.0
1347,FBA|TALA,ac,0.0,0.0
1348,FBA|TALA,dhap,0.0,0.0
1349,FBA|TALA,electrons,0.0,0.0
1350,FBA|PPC,g6p,0.789,0.0
1351,FBA|PPC,f6p,0.789,0.0
1352,FBA|PPC,6pgc,0.742,0.0
1353,FBA|PPC,r5p,0.808,0.0
1354,FBA|PPC,succ,0.0,0.0
1355,FBA|PPC,xu5p_D,0.808,0.0
1356,FBA|PPC,2pg,0.0,0.0
1357,FBA|PPC,ac,0.0,0.0
1358,FBA|PPC,dhap,0.0,0.0
1359,FBA|PPC,electrons,0.0,0.0
1360,FBA|PPCK,g6p,0.789,0.0
1361,FBA|PPCK,f6p,0.789,0.0
1362,FBA|PPCK,6pgc,0.743,0.0
1363,FBA|PPCK,r5p,0.809,0.0
1364,FBA|PPCK,succ,0.0,0.0
1365,FBA|PPCK,xu5p_D,0.809,0.0
1366,FBA|PPCK,2pg,0.0,0.0
1367,FBA|PPCK,ac,0.0,0.0
1368,FBA|PPCK,dhap,0.0,0.0
1369,FBA|PPCK,electrons,0.0,0.0
1370,FBA|CS,g6p,0.0,0.0
1371,FBA|CS,f6p,0.0,0.0
1372,FBA|CS,6pgc,0.0,0.0
1373,FBA|CS,r5p,0.0,0.0
1374,FBA|CS,succ,0.0,0.0
1375,FBA|CS,xu5p_D,0.0,0.0
1376,FBA|CS,2pg,0.0,0.0
1377,FBA|CS,ac,0.0,0.0
1378,FBA|CS,dhap,0.0,0.0
1379,FBA|CS,electrons,0.0,0.0
1380,"FBA|ACONTa,ACONTb",g6p,0.0,0.0
1381,"FBA|ACONTa,ACONTb",f6p,0.0,0.0
1382,"FBA|ACONTa,ACONTb",6pgc,0.0,0.0
1383,"FBA|ACONTa,ACONTb",r5p,0.0,0.0
1384,"FBA|ACONTa,ACONTb",succ,0.0,0.0
1385,"FBA|ACONTa,ACONTb",xu5p_D,0.0,0.0
1386,"FBA|ACONTa,ACONTb",2pg,0.0,0.0
1387,"FBA|ACONTa,ACONTb",ac,0.0,0.0
1388,"FBA|ACONTa,ACONTb",dhap,0.0,0.0
1389,"FBA|ACONTa,ACONTb",electrons,0.0,0.0
1390,FBA|ALCD2x,g6p,0.789,0.0
1391,FBA|ALCD2x,f6p,0.789,0.0
1392,FBA|ALCD2x,6pgc,0.743,0.0
1393,FBA|ALCD2x,r5p,0.809,0.0
1394,FBA|ALCD2x,succ,0.0,0.0
1395,FBA|ALCD2x,xu5p_D,0.809,0.0
1396,FBA|ALCD2x,2pg,0.0,0.0
1397,FBA|ALCD2x,ac,0.0,0.0
1398,FBA|ALCD2x,dhap,0.0,0.0
1399,FBA|ALCD2x,electrons,0.0,0.0
1400,FBA|ACALD,g6p,0.789,0.0
1401,FBA|ACALD,f6p,0.789,0.0
1402,FBA|ACALD,6pgc,0.743,0.0
1403,FBA|ACALD,r5p,0.809,0.0
1404,FBA|ACALD,succ,0.0,0.0
1405,FBA|ACALD,xu5p_D,0.809,0.0
1406,FBA|ACALD,2pg,0.0,0.0
1407,FBA|ACALD,ac,0.0,0.0
1408,FBA|ACALD,dhap,0.0,0.0
1409,FBA|ACALD,electrons,0.0,0.0
1410,"TPI|GAPD,PGK",g6p,0.754,9.384
1411,"TPI|GAPD,PGK",f6p,0.754,9.384
1412,"TPI|GAPD,PGK",6pgc,0.707,10.13
1413,"TPI|GAPD,PGK",r5p,0.755,11.579
1414,"TPI|GAPD,PGK",succ,0.0,0.0
1415,"TPI|GAPD,PGK",xu5p_D,0.755,11.579
1416,"TPI|GAPD,PGK",2pg,0.0,0.0
1417,"TPI|GAPD,PGK",ac,0.0,0.0
1418,"TPI|GAPD,PGK",dhap,0.0,0.0
1419,"TPI|GAPD,PGK",electrons,0.0,0.0
1420,TPI|PGM,g6p,0.0,0.0
1421,TPI|PGM,f6p,0.0,0.0
1422,TPI|PGM,6pgc,0.0,0.0
1423,TPI|PGM,r5p,0.0,0.0
1424,TPI|PGM,succ,0.0,0.0
1425,TPI|PGM,xu5p_D,0.0,0.0
1426,TPI|PGM,2pg,0.0,0.0
1427,TPI|PGM,ac,0.0,0.0
1428,TPI|PGM,dhap,0.699,3.16
1429,TPI|PGM,electrons,0.0,0.0
1430,TPI|ENO,g6p,0.0,0.0
1431,TPI|ENO,f6p,0.0,0.0
1432,TPI|ENO,6pgc,0.0,0.0
1433,TPI|ENO,r5p,0.0,0.0
1434,TPI|ENO,succ,0.0,0.0
1435,TPI|ENO,xu5p_D,0.0,0.0
1436,TPI|ENO,2pg,0.0,0.0
1437,TPI|ENO,ac,0.0,0.0
1438,TPI|ENO,dhap,0.699,3.16
1439,TPI|ENO,electrons,0.0,0.0
1440,TPI|PYK,g6p,0.772,0.0
1441,TPI|PYK,f6p,0.772,0.0
1442,TPI|PYK,6pgc,0.725,0.0
1443,TPI|PYK,r5p,0.784,0.0
1444,TPI|PYK,succ,0.0,0.0
1445,TPI|PYK,xu5p_D,0.784,0.0
1446,TPI|PYK,2pg,0.0,0.0
1447,TPI|PYK,ac,0.0,0.0
1448,TPI|PYK,dhap,0.699,0.0
1449,TPI|PYK,electrons,0.0,0.0
1450,TPI|PPS,g6p,0.789,0.0
1451,TPI|PPS,f6p,0.789,0.0
1452,TPI|PPS,6pgc,0.743,0.0
1453,TPI|PPS,r5p,0.809,0.0
1454,TPI|PPS,succ,0.0,0.0
1455,TPI|PPS,xu5p_D,0.809,0.0
1456,TPI|PPS,2pg,0.0,0.0
1457,TPI|PPS,ac,0.0,0.0
1458,TPI|PPS,dhap,0.699,0.0
1459,TPI|PPS,electrons,0.0,0.0
1460,TPI|PDH,g6p,0.754,0.0
1461,TPI|PDH,f6p,0.754,0.0
1462,TPI|PDH,6pgc,0.71,0.0
1463,TPI|PDH,r5p,0.773,0.0
1464,TPI|PDH,succ,0.0,0.0
1465,TPI|PDH,xu5p_D,0.773,0.0
1466,TPI|PDH,2pg,0.0,0.0
1467,TPI|PDH,ac,0.0,0.0
1468,TPI|PDH,dhap,0.655,0.0
1469,TPI|PDH,electrons,0.0,0.0
1470,TPI|PFL,g6p,0.789,0.0
1471,TPI|PFL,f6p,0.789,0.0
1472,TPI|PFL,6pgc,0.743,0.0
1473,TPI|PFL,r5p,0.809,0.0
1474,TPI|PFL,succ,0.0,0.0
1475,TPI|PFL,xu5p_D,0.809,0.0
1476,TPI|PFL,2pg,0.0,0.0
1477,TPI|PFL,ac,0.0,0.0
1478,TPI|PFL,dhap,0.699,0.0
1479,TPI|PFL,electrons,0.0,0.0
1480,"TPI|G6PDH2r,PGL",g6p,0.726,15.728
1481,"TPI|G6PDH2r,PGL",f6p,0.726,15.728
1482,"TPI|G6PDH2r,PGL",6pgc,0.728,0.0
1483,"TPI|G6PDH2r,PGL",r5p,0.754,11.776
1484,"TPI|G6PDH2r,PGL",succ,0.0,0.0
1485,"TPI|G6PDH2r,PGL",xu5p_D,0.754,11.776
1486,"TPI|G6PDH2r,PGL",2pg,0.0,0.0
1487,"TPI|G6PDH2r,PGL",ac,0.0,0.0
1488,"TPI|G6PDH2r,PGL",dhap,0.594,40.603
1489,"TPI|G6PDH2r,PGL",electrons,0.0,0.0
1490,TPI|GND,g6p,0.787,0.0
1491,TPI|GND,f6p,0.787,0.0
1492,TPI|GND,6pgc,0.0,0.0
1493,TPI|GND,r5p,0.801,0.0
1494,TPI|GND,succ,0.0,0.0
1495,TPI|GND,xu5p_D,0.801,0.0
1496,TPI|GND,2pg,0.0,0.0
1497,TPI|GND,ac,0.0,0.0
1498,TPI|GND,dhap,0.699,0.0
1499,TPI|GND,electrons,0.0,0.0
1500,"TPI|EDD,EDA",g6p,0.769,0.0
1501,"TPI|EDD,EDA",f6p,0.769,0.0
1502,"TPI|EDD,EDA",6pgc,0.727,0.0
1503,"TPI|EDD,EDA",r5p,0.797,0.0
1504,"TPI|EDD,EDA",succ,0.0,0.0
1505,"TPI|EDD,EDA",xu5p_D,0.797,0.0
1506,"TPI|EDD,EDA",2pg,0.0,0.0
1507,"TPI|EDD,EDA",ac,0.0,0.0
1508,"TPI|EDD,EDA",dhap,0.653,14.204
1509,"TPI|EDD,EDA",electrons,0.0,0.0
1510,TPI|RPE,g6p,0.789,0.0
1511,TPI|RPE,f6p,0.789,0.0
1512,TPI|RPE,6pgc,0.0,0.0
1513,TPI|RPE,r5p,0.0,0.0
1514,TPI|RPE,succ,0.0,0.0
1515,TPI|RPE,xu5p_D,0.807,0.0
1516,TPI|RPE,2pg,0.0,0.0
1517,TPI|RPE,ac,0.0,0.0
1518,TPI|RPE,dhap,0.698,0.0
1519,TPI|RPE,electrons,0.0,0.0
1520,TPI|RPI,g6p,0.778,2.156
1521,TPI|RPI,f6p,0.778,2.156
1522,TPI|RPI,6pgc,0.0,0.0
1523,TPI|RPI,r5p,0.0,0.0
1524,TPI|RPI,succ,0.0,0.0
1525,TPI|RPI,xu5p_D,0.0,0.0
1526,TPI|RPI,2pg,0.0,0.0
1527,TPI|RPI,ac,0.0,0.0
1528,TPI|RPI,dhap,0.699,2.156
1529,TPI|RPI,electrons,0.0,0.0
1530,"TPI|TKT1,TKT2",g6p,0.0,0.0
1531,"TPI|TKT1,TKT2",f6p,0.0,0.0
1532,"TPI|TKT1,TKT2",6pgc,0.0,0.0
1533,"TPI|TKT1,TKT2",r5p,0.0,0.0
1534,"TPI|TKT1,TKT2",succ,0.0,0.0
1535,"TPI|TKT1,TKT2",xu5p_D,0.0,0.0
1536,"TPI|TKT1,TKT2",2pg,0.0,0.0
1537,"TPI|TKT1,TKT2",ac,0.0,0.0
1538,"TPI|TKT1,TKT2",dhap,0.0,0.0
1539,"TPI|TKT1,TKT2",electrons,0.0,0.0
1540,TPI|TALA,g6p,0.788,0.0
1541,TPI|TALA,f6p,0.788,0.0
1542,TPI|TALA,6pgc,0.0,0.0
1543,TPI|TALA,r5p,0.0,0.0
1544,TPI|TALA,succ,0.0,0.0
1545,TPI|TALA,xu5p_D,0.0,0.0
1546,TPI|TALA,2pg,0.0,0.0
1547,TPI|TALA,ac,0.0,0.0
1548,TPI|TALA,dhap,0.698,0.0
1549,TPI|TALA,electrons,0.0,0.0
1550,TPI|PPC,g6p,0.789,0.0
1551,TPI|PPC,f6p,0.789,0.0
1552,TPI|PPC,6pgc,0.742,0.0
1553,TPI|PPC,r5p,0.808,0.0
1554,TPI|PPC,succ,0.0,0.0
1555,TPI|PPC,xu5p_D,0.808,0.0
1556,TPI|PPC,2pg,0.0,0.0
1557,TPI|PPC,ac,0.0,0.0
1558,TPI|PPC,dhap,0.699,0.0
1559,TPI|PPC,electrons,0.0,0.0
1560,TPI|PPCK,g6p,0.789,0.0
1561,TPI|PPCK,f6p,0.789,0.0
1562,TPI|PPCK,6pgc,0.743,0.0
1563,TPI|PPCK,r5p,0.809,0.0
1564,TPI|PPCK,succ,0.0,0.0
1565,TPI|PPCK,xu5p_D,0.809,0.0
1566,TPI|PPCK,2pg,0.0,0.0
1567,TPI|PPCK,ac,0.0,0.0
1568,TPI|PPCK,dhap,0.699,0.0
1569,TPI|PPCK,electrons,0.0,0.0
1570,TPI|CS,g6p,0.0,0.0
1571,TPI|CS,f6p,0.0,0.0
1572,TPI|CS,6pgc,0.0,0.0
1573,TPI|CS,r5p,0.0,0.0
1574,TPI|CS,succ,0.0,0.0
1575,TPI|CS,xu5p_D,0.0,0.0
1576,TPI|CS,2pg,0.0,0.0
1577,TPI|CS,ac,0.0,0.0
1578,TPI|CS,dhap,0.0,0.0
1579,TPI|CS,electrons,0.0,0.0
1580,"TPI|ACONTa,ACONTb",g6p,0.0,0.0
1581,"TPI|ACONTa,ACONTb",f6p,0.0,0.0
1582,"TPI|ACONTa,ACONTb",6pgc,0.0,0.0
1583,"TPI|ACONTa,ACONTb",r5p,0.0,0.0
1584,"TPI|ACONTa,ACONTb",succ,0.0,0.0
1585,"TPI|ACONTa,ACONTb",xu5p_D,0.0,0.0
1586,"TPI|ACONTa,ACONTb",2pg,0.0,0.0
1587,"TPI|ACONTa,ACONTb",ac,0.0,0.0
1588,"TPI|ACONTa,ACONTb",dhap,0.0,0.0
1589,"TPI|ACONTa,ACONTb",electrons,0.0,0.0
1590,TPI|ALCD2x,g6p,0.789,0.0
1591,TPI|ALCD2x,f6p,0.789,0.0
1592,TPI|ALCD2x,6pgc,0.743,0.0
1593,TPI|ALCD2x,r5p,0.809,0.0
1594,TPI|ALCD2x,succ,0.0,0.0
1595,TPI|ALCD2x,xu5p_D,0.809,0.0
1596,TPI|ALCD2x,2pg,0.0,0.0
1597,TPI|ALCD2x,ac,0.0,0.0
1598,TPI|ALCD2x,dhap,0.699,0.0
1599,TPI|ALCD2x,electrons,0.0,0.0
1600,TPI|ACALD,g6p,0.789,0.0
1601,TPI|ACALD,f6p,0.789,0.0
1602,TPI|ACALD,6pgc,0.743,0.0
1603,TPI|ACALD,r5p,0.809,0.0
1604,TPI|ACALD,succ,0.0,0.0
1605,TPI|ACALD,xu5p_D,0.809,0.0
1606,TPI|ACALD,2pg,0.0,0.0
1607,TPI|ACALD,ac,0.0,0.0
1608,TPI|ACALD,dhap,0.699,0.0
1609,TPI|ACALD,electrons,0.0,0.0
1610,"GAPD,PGK|PGM",g6p,0.715,0.748
1611,"GAPD,PGK|PGM",f6p,0.715,0.748
1612,"GAPD,PGK|PGM",6pgc,0.669,0.748
1613,"GAPD,PGK|PGM",r5p,0.717,0.748
1614,"GAPD,PGK|PGM",succ,0.0,0.0
1615,"GAPD,PGK|PGM",xu5p_D,0.717,0.748
1616,"GAPD,PGK|PGM",2pg,0.0,0.0
1617,"GAPD,PGK|PGM",ac,0.0,0.0
1618,"GAPD,PGK|PGM",dhap,0.726,0.748
1619,"GAPD,PGK|PGM",electrons,0.0,0.0
1620,"GAPD,PGK|ENO",g6p,0.715,0.748
1621,"GAPD,PGK|ENO",f6p,0.715,0.748
1622,"GAPD,PGK|ENO",6pgc,0.669,0.748
1623,"GAPD,PGK|ENO",r5p,0.717,0.748
1624,"GAPD,PGK|ENO",succ,0.0,0.0
1625,"GAPD,PGK|ENO",xu5p_D,0.717,0.748
1626,"GAPD,PGK|ENO",2pg,0.0,0.0
1627,"GAPD,PGK|ENO",ac,0.0,0.0
1628,"GAPD,PGK|ENO",dhap,0.726,0.748
1629,"GAPD,PGK|ENO",electrons,0.0,0.0
1630,"GAPD,PGK|PYK",g6p,0.724,0.0
1631,"GAPD,PGK|PYK",f6p,0.724,0.0
1632,"GAPD,PGK|PYK",6pgc,0.678,0.0
1633,"GAPD,PGK|PYK",r5p,0.726,0.0
1634,"GAPD,PGK|PYK",succ,0.0,0.0
1635,"GAPD,PGK|PYK",xu5p_D,0.726,0.0
1636,"GAPD,PGK|PYK",2pg,0.0,0.0
1637,"GAPD,PGK|PYK",ac,0.0,0.0
1638,"GAPD,PGK|PYK",dhap,0.735,0.0
1639,"GAPD,PGK|PYK",electrons,0.0,0.0
1640,"GAPD,PGK|PPS",g6p,0.754,0.0
1641,"GAPD,PGK|PPS",f6p,0.754,0.0
1642,"GAPD,PGK|PPS",6pgc,0.707,0.0
1643,"GAPD,PGK|PPS",r5p,0.762,0.0
1644,"GAPD,PGK|PPS",succ,0.0,0.0
1645,"GAPD,PGK|PPS",xu5p_D,0.762,0.0
1646,"GAPD,PGK|PPS",2pg,0.0,0.0
1647,"GAPD,PGK|PPS",ac,0.0,0.0
1648,"GAPD,PGK|PPS",dhap,0.771,0.0
1649,"GAPD,PGK|PPS",electrons,0.0,0.0
1650,"GAPD,PGK|PDH",g6p,0.702,0.0
1651,"GAPD,PGK|PDH",f6p,0.702,0.0
1652,"GAPD,PGK|PDH",6pgc,0.656,0.0
1653,"GAPD,PGK|PDH",r5p,0.704,0.0
1654,"GAPD,PGK|PDH",succ,0.0,0.0
1655,"GAPD,PGK|PDH",xu5p_D,0.704,0.0
1656,"GAPD,PGK|PDH",2pg,0.0,0.0
1657,"GAPD,PGK|PDH",ac,0.0,0.0
1658,"GAPD,PGK|PDH",dhap,0.713,0.0
1659,"GAPD,PGK|PDH",electrons,0.0,0.0
1660,"GAPD,PGK|PFL",g6p,0.754,0.0
1661,"GAPD,PGK|PFL",f6p,0.754,0.0
1662,"GAPD,PGK|PFL",6pgc,0.707,0.0
1663,"GAPD,PGK|PFL",r5p,0.762,0.0
1664,"GAPD,PGK|PFL",succ,0.0,0.0
1665,"GAPD,PGK|PFL",xu5p_D,0.762,0.0
1666,"GAPD,PGK|PFL",2pg,0.0,0.0
1667,"GAPD,PGK|PFL",ac,0.0,0.0
1668,"GAPD,PGK|PFL",dhap,0.771,0.0
1669,"GAPD,PGK|PFL",electrons,0.0,0.0
1670,"GAPD,PGK|G6PDH2r,PGL",g6p,0.744,11.847
1671,"GAPD,PGK|G6PDH2r,PGL",f6p,0.744,11.847
1672,"GAPD,PGK|G6PDH2r,PGL",6pgc,0.707,5.755
1673,"GAPD,PGK|G6PDH2r,PGL",r5p,0.754,11.664
1674,"GAPD,PGK|G6PDH2r,PGL",succ,0.0,0.0
1675,"GAPD,PGK|G6PDH2r,PGL",xu5p_D,0.754,11.664
1676,"GAPD,PGK|G6PDH2r,PGL",2pg,0.0,0.0
1677,"GAPD,PGK|G6PDH2r,PGL",ac,0.0,0.0
1678,"GAPD,PGK|G6PDH2r,PGL",dhap,0.763,11.516
1679,"GAPD,PGK|G6PDH2r,PGL",electrons,0.0,0.0
1680,"GAPD,PGK|GND",g6p,0.749,0.0
1681,"GAPD,PGK|GND",f6p,0.749,0.0
1682,"GAPD,PGK|GND",6pgc,0.68,0.0
1683,"GAPD,PGK|GND",r5p,0.754,0.0
1684,"GAPD,PGK|GND",succ,0.0,0.0
1685,"GAPD,PGK|GND",xu5p_D,0.754,0.0
1686,"GAPD,PGK|GND",2pg,0.0,0.0
1687,"GAPD,PGK|GND",ac,0.0,0.0
1688,"GAPD,PGK|GND",dhap,0.763,0.0
1689,"GAPD,PGK|GND",electrons,0.0,0.0
1690,"GAPD,PGK|EDD,EDA",g6p,0.754,6.27
1691,"GAPD,PGK|EDD,EDA",f6p,0.754,6.27
1692,"GAPD,PGK|EDD,EDA",6pgc,0.707,6.27
1693,"GAPD,PGK|EDD,EDA",r5p,0.762,6.27
1694,"GAPD,PGK|EDD,EDA",succ,0.0,0.0
1695,"GAPD,PGK|EDD,EDA",xu5p_D,0.762,6.27
1696,"GAPD,PGK|EDD,EDA",2pg,0.0,0.0
1697,"GAPD,PGK|EDD,EDA",ac,0.0,0.0
1698,"GAPD,PGK|EDD,EDA",dhap,0.771,6.27
1699,"GAPD,PGK|EDD,EDA",electrons,0.0,0.0
1700,"GAPD,PGK|RPE",g6p,0.752,0.0
1701,"GAPD,PGK|RPE",f6p,0.752,0.0
1702,"GAPD,PGK|RPE",6pgc,0.706,0.0
1703,"GAPD,PGK|RPE",r5p,0.0,0.0
1704,"GAPD,PGK|RPE",succ,0.0,0.0
1705,"GAPD,PGK|RPE",xu5p_D,0.748,0.0
1706,"GAPD,PGK|RPE",2pg,0.0,0.0
1707,"GAPD,PGK|RPE",ac,0.0,0.0
1708,"GAPD,PGK|RPE",dhap,0.763,0.0
1709,"GAPD,PGK|RPE",electrons,0.0,0.0
1710,"GAPD,PGK|RPI",g6p,0.753,2.156
