,knockouts,carbon source,yield,slope
367,GLCpts|PDH,ac,0.54,0.0
368,GLCpts|PDH,dhap,0.807,0.0
369,GLCpts|PDH,electrons,0.488,45.595
370,GLCpts|PFL,g6p,0.817,0.0
371,GLCpts|PFL,f6p,0.817,0.0
372,GLCpts|PFL,6pgc,0.764,0.0
373,GLCpts|PFL,r5p,0.828,0.0
374,GLCpts|PFL,succ,0.553,0.0
375,GLCpts|PFL,xu5p_D,0.828,0.0
376,GLCpts|PFL,2pg,0.691,0.0
377,GLCpts|PFL,ac,0.54,0.0
378,GLCpts|PFL,dhap,0.854,0.0
379,GLCpts|PFL,electrons,0.499,45.595
380,"GLCpts|G6PDH2r,PGL",g6p,0.805,0.0
381,"GLCpts|G6PDH2r,PGL",f6p,0.805,0.0
382,"GLCpts|G6PDH2r,PGL",6pgc,0.761,0.0
383,"GLCpts|G6PDH2r,PGL",r5p,0.815,0.0
384,"GLCpts|G6PDH2r,PGL",succ,0.553,0.0
385,"GLCpts|G6PDH2r,PGL",xu5p_D,0.815,0.0
386,"GLCpts|G6PDH2r,PGL",2pg,0.69,0.0
387,"GLCpts|G6PDH2r,PGL",ac,0.54,0.0
388,"GLCpts|G6PDH2r,PGL",dhap,0.852,0.0
389,"GLCpts|G6PDH2r,PGL",electrons,0.499,45.595
390,GLCpts|GND,g6p,0.805,0.0
391,GLCpts|GND,f6p,0.805,0.0
392,GLCpts|GND,6pgc,0.72,0.0
393,GLCpts|GND,r5p,0.815,0.0
394,GLCpts|GND,succ,0.553,0.0
395,GLCpts|GND,xu5p_D,0.815,0.0
396,GLCpts|GND,2pg,0.69,0.0
397,GLCpts|GND,ac,0.54,0.0
398,GLCpts|GND,dhap,0.852,0.0
399,GLCpts|GND,electrons,0.499,45.595
400,"GLCpts|EDD,EDA",g6p,0.817,0.0
401,"GLCpts|EDD,EDA",f6p,0.817,0.0
402,"GLCpts|EDD,EDA",6pgc,0.764,0.0
403,"GLCpts|EDD,EDA",r5p,0.828,0.0
404,"GLCpts|EDD,EDA",succ,0.553,0.0
405,"GLCpts|EDD,EDA",xu5p_D,0.828,0.0
406,"GLCpts|EDD,EDA",2pg,0.691,0.0
407,"GLCpts|EDD,EDA",ac,0.54,0.0
408,"GLCpts|EDD,EDA",dhap,0.854,0.0
409,"GLCpts|EDD,EDA",electrons,0.499,45.595
410,GLCpts|RPE,g6p,0.807,0.0
411,GLCpts|RPE,f6p,0.807,0.0
412,GLCpts|RPE,6pgc,0.726,0.0
413,GLCpts|RPE,r5p,0.75,12.247
414,GLCpts|RPE,succ,0.551,0.0
415,GLCpts|RPE,xu5p_D,0.827,0.0
416,GLCpts|RPE,2pg,0.69,0.0
417,GLCpts|RPE,ac,0.537,0.0
418,GLCpts|RPE,dhap,0.852,0.0
419,GLCpts|RPE,electrons,0.0,0.0
420,GLCpts|RPI,g6p,0.793,2.156
421,GLCpts|RPI,f6p,0.793,2.156
422,GLCpts|RPI,6pgc,0.705,2.156
423,GLCpts|RPI,r5p,0.691,0.0
424,GLCpts|RPI,succ,0.539,2.156
425,GLCpts|RPI,xu5p_D,0.726,15.923
426,GLCpts|RPI,2pg,0.675,2.156
427,GLCpts|RPI,ac,0.529,2.156
428,GLCpts|RPI,dhap,0.834,2.156
429,GLCpts|RPI,electrons,0.0,0.0
430,"GLCpts|TKT1,TKT2",g6p,0.0,0.0
431,"GLCpts|TKT1,TKT2",f6p,0.0,0.0
432,"GLCpts|TKT1,TKT2",6pgc,0.0,0.0
433,"GLCpts|TKT1,TKT2",r5p,0.0,0.0
434,"GLCpts|TKT1,TKT2",succ,0.0,0.0
435,"GLCpts|TKT1,TKT2",xu5p_D,0.0,0.0
436,"GLCpts|TKT1,TKT2",2pg,0.0,0.0
437,"GLCpts|TKT1,TKT2",ac,0.0,0.0
438,"GLCpts|TKT1,TKT2",dhap,0.0,0.0
439,"GLCpts|TKT1,TKT2",electrons,0.0,0.0
440,GLCpts|TALA,g6p,0.806,0.0
441,GLCpts|TALA,f6p,0.806,0.0
442,GLCpts|TALA,6pgc,0.723,0.0
443,GLCpts|TALA,r5p,0.746,12.862
444,GLCpts|TALA,succ,0.552,0.0
445,GLCpts|TALA,xu5p_D,0.746,12.862
446,GLCpts|TALA,2pg,0.69,0.0
447,GLCpts|TALA,ac,0.538,0.0
448,GLCpts|TALA,dhap,0.852,0.0
449,GLCpts|TALA,electrons,0.0,0.0
450,GLCpts|PPC,g6p,0.812,0.0
451,GLCpts|PPC,f6p,0.812,0.0
452,GLCpts|PPC,6pgc,0.757,0.0
453,GLCpts|PPC,r5p,0.821,0.0
454,GLCpts|PPC,succ,0.553,0.0
455,GLCpts|PPC,xu5p_D,0.821,0.0
456,GLCpts|PPC,2pg,0.687,0.0
457,GLCpts|PPC,ac,0.54,0.0
458,GLCpts|PPC,dhap,0.848,0.0
459,GLCpts|PPC,electrons,0.469,54.192
460,GLCpts|PPCK,g6p,0.817,0.0
461,GLCpts|PPCK,f6p,0.817,0.0
462,GLCpts|PPCK,6pgc,0.764,0.0
463,GLCpts|PPCK,r5p,0.828,0.0
464,GLCpts|PPCK,succ,0.54,0.0
465,GLCpts|PPCK,xu5p_D,0.828,0.0
466,GLCpts|PPCK,2pg,0.691,0.0
467,GLCpts|PPCK,ac,0.527,0.0
468,GLCpts|PPCK,dhap,0.854,0.0
469,GLCpts|PPCK,electrons,0.499,45.595
470,GLCpts|CS,g6p,0.0,0.0
471,GLCpts|CS,f6p,0.0,0.0
472,GLCpts|CS,6pgc,0.0,0.0
473,GLCpts|CS,r5p,0.0,0.0
474,GLCpts|CS,succ,0.0,0.0
475,GLCpts|CS,xu5p_D,0.0,0.0
476,GLCpts|CS,2pg,0.0,0.0
477,GLCpts|CS,ac,0.0,0.0
478,GLCpts|CS,dhap,0.0,0.0
479,GLCpts|CS,electrons,0.0,0.0
480,"GLCpts|ACONTa,ACONTb",g6p,0.0,0.0
481,"GLCpts|ACONTa,ACONTb",f6p,0.0,0.0
482,"GLCpts|ACONTa,ACONTb",6pgc,0.0,0.0
483,"GLCpts|ACONTa,ACONTb",r5p,0.0,0.0
484,"GLCpts|ACONTa,ACONTb",succ,0.0,0.0
485,"GLCpts|ACONTa,ACONTb",xu5p_D,0.0,0.0
486,"GLCpts|ACONTa,ACONTb",2pg,0.0,0.0
487,"GLCpts|ACONTa,ACONTb",ac,0.0,0.0
488,"GLCpts|ACONTa,ACONTb",dhap,0.0,0.0
489,"GLCpts|ACONTa,ACONTb",electrons,0.0,0.0
490,GLCpts|ALCD2x,g6p,0.817,0.0
491,GLCpts|ALCD2x,f6p,0.817,0.0
492,GLCpts|ALCD2x,6pgc,0.764,0.0
493,GLCpts|ALCD2x,r5p,0.828,0.0
494,GLCpts|ALCD2x,succ,0.553,0.0
495,GLCpts|ALCD2x,xu5p_D,0.828,0.0
496,GLCpts|ALCD2x,2pg,0.691,0.0
497,GLCpts|ALCD2x,ac,0.54,0.0
498,GLCpts|ALCD2x,dhap,0.854,0.0
499,GLCpts|ALCD2x,electrons,0.499,45.595
500,GLCpts|ACALD,g6p,0.817,0.0
501,GLCpts|ACALD,f6p,0.817,0.0
502,GLCpts|ACALD,6pgc,0.764,0.0
503,GLCpts|ACALD,r5p,0.828,0.0
504,GLCpts|ACALD,succ,0.553,0.0
505,GLCpts|ACALD,xu5p_D,0.828,0.0
506,GLCpts|ACALD,2pg,0.691,0.0
507,GLCpts|ACALD,ac,0.54,0.0
508,GLCpts|ACALD,dhap,0.854,0.0
509,GLCpts|ACALD,electrons,0.499,45.596
510,PGI|PFK,g6p,0.789,0.0
511,PGI|PFK,f6p,0.0,0.0
512,PGI|PFK,6pgc,0.0,0.0
513,PGI|PFK,r5p,0.0,0.0
514,PGI|PFK,succ,0.0,0.0
515,PGI|PFK,xu5p_D,0.0,0.0
516,PGI|PFK,2pg,0.0,0.0
517,PGI|PFK,ac,0.0,0.0
518,PGI|PFK,dhap,0.0,0.0
519,PGI|PFK,electrons,0.0,0.0
520,PGI|FBP,g6p,0.812,0.0
521,PGI|FBP,f6p,0.0,0.0
522,PGI|FBP,6pgc,0.0,0.0
523,PGI|FBP,r5p,0.0,0.0
524,PGI|FBP,succ,0.0,0.0
525,PGI|FBP,xu5p_D,0.0,0.0
526,PGI|FBP,2pg,0.0,0.0
527,PGI|FBP,ac,0.0,0.0
528,PGI|FBP,dhap,0.0,0.0
529,PGI|FBP,electrons,0.0,0.0
530,PGI|FBA,g6p,0.789,0.0
531,PGI|FBA,f6p,0.0,0.0
532,PGI|FBA,6pgc,0.0,0.0
533,PGI|FBA,r5p,0.0,0.0
534,PGI|FBA,succ,0.0,0.0
535,PGI|FBA,xu5p_D,0.0,0.0
536,PGI|FBA,2pg,0.0,0.0
537,PGI|FBA,ac,0.0,0.0
538,PGI|FBA,dhap,0.0,0.0
539,PGI|FBA,electrons,0.0,0.0
540,PGI|TPI,g6p,0.789,0.0
541,PGI|TPI,f6p,0.0,0.0
542,PGI|TPI,6pgc,0.0,0.0
543,PGI|TPI,r5p,0.0,0.0
544,PGI|TPI,succ,0.0,0.0
545,PGI|TPI,xu5p_D,0.0,0.0
546,PGI|TPI,2pg,0.0,0.0
547,PGI|TPI,ac,0.0,0.0
548,PGI|TPI,dhap,0.0,0.0
549,PGI|TPI,electrons,0.0,0.0
550,"PGI|GAPD,PGK",g6p,0.752,5.317
551,"PGI|GAPD,PGK",f6p,0.0,0.0
552,"PGI|GAPD,PGK",6pgc,0.0,0.0
553,"PGI|GAPD,PGK",r5p,0.0,0.0
554,"PGI|GAPD,PGK",succ,0.0,0.0
555,"PGI|GAPD,PGK",xu5p_D,0.0,0.0
556,"PGI|GAPD,PGK",2pg,0.0,0.0
557,"PGI|GAPD,PGK",ac,0.0,0.0
558,"PGI|GAPD,PGK",dhap,0.0,0.0
559,"PGI|GAPD,PGK",electrons,0.0,0.0
560,PGI|PGM,g6p,0.0,0.0
561,PGI|PGM,f6p,0.0,0.0
562,PGI|PGM,6pgc,0.0,0.0
563,PGI|PGM,r5p,0.0,0.0
564,PGI|PGM,succ,0.0,0.0
565,PGI|PGM,xu5p_D,0.0,0.0
566,PGI|PGM,2pg,0.0,0.0
567,PGI|PGM,ac,0.0,0.0
568,PGI|PGM,dhap,0.0,0.0
569,PGI|PGM,electrons,0.0,0.0
570,PGI|ENO,g6p,0.0,0.0
571,PGI|ENO,f6p,0.0,0.0
572,PGI|ENO,6pgc,0.0,0.0
573,PGI|ENO,r5p,0.0,0.0
574,PGI|ENO,succ,0.0,0.0
575,PGI|ENO,xu5p_D,0.0,0.0
576,PGI|ENO,2pg,0.0,0.0
577,PGI|ENO,ac,0.0,0.0
578,PGI|ENO,dhap,0.0,0.0
579,PGI|ENO,electrons,0.0,0.0
